match_id,blue_win,blue_top_champion_name,blue_jungle_champion_name,blue_mid_champion_name,blue_adc_champion_name,blue_support_champion_name,red_top_champion_name,red_jungle_champion_name,red_mid_champion_name,red_adc_champion_name,red_support_champion_name,blue_avg_rank,red_avg_rank,blue_avg_recent_wr,red_avg_recent_wr,blue_avg_mastery,red_avg_mastery,top_matchup_wr,jungle_matchup_wr,mid_matchup_wr,adc_matchup_wr,support_matchup_wr,avg_matchup_wr,rank_diff,recent_wr_diff,mastery_diff
EUN1_3920412000,0,Illaoi,Khazix,Syndra,Kaisa,Lux,Jayce,Jax,Naafiri,Vayne,Seraphine,0.0,0.0,0.4,0.54,163270.2,37541.6,0.0,0.0,0.0,0.3333333333333333,0.5714285714285714,0.18095238095238092,0.0,-0.14,125728.6
EUN1_3928800470,1,Mordekaiser,Zaahen,Lux,Caitlyn,Blitzcrank,Aatrox,Kayn,Sylas,Jinx,Morgana,0.0,0.0,0.34,0.42,229753.6,138695.0,0.75,1.0,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.7257575757575757,0.0,-0.07999999999999996,91058.6
EUN1_3926497577,0,Shen,Kayn,Yasuo,Jhin,Swain,Jax,Shyvana,Mel,Jinx,Bard,0.0,0.0,0.58,0.42,243841.4,48261.2,0.0,0.4166666666666667,0.4,0.3,0.0,0.22333333333333333,0.0,0.15999999999999998,195580.2
EUN1_3927891884,0,Chogath,Nidalee,Leblanc,Jinx,Lux,Veigar,Viego,Ekko,MissFortune,Thresh,0.0,0.0,0.54,0.34,779775.6,166167.8,0.0,0.0,0.0,0.38461538461538464,0.0,0.07692307692307693,0.0,0.2,613607.8
EUN1_3931897751,0,Teemo,Nocturne,MissFortune,Caitlyn,Sona,Yasuo,Hecarim,Akali,Kaisa,Braum,0.0,0.0,0.52,0.52,302983.0,167607.2,0.0,0.0,0.0,0.25,0.0,0.05,0.0,0.0,135375.8
EUN1_3916138025,0,Mordekaiser,Viego,Zed,Cassiopeia,Leona,Kayle,Kayn,Yasuo,Smolder,TahmKench,0.0,0.0,0.44,0.36,99418.8,217247.8,0.42857142857142855,0.36363636363636365,0.25,0.0,0.0,0.20844155844155843,0.0,0.08000000000000002,-117828.99999999999
EUN1_3930990637,1,Sion,Viego,Velkoz,Jhin,Lux,Chogath,Udyr,Veigar,Tristana,Mel,0.0,0.0,0.46,0.5,85954.8,67117.0,1.0,1.0,1.0,0.5,0.5,0.8,0.0,-0.03999999999999998,18837.800000000003
EUN1_3929051265,1,Darius,Kayn,Teemo,Vayne,Blitzcrank,Malphite,Nocturne,Veigar,Xayah,TahmKench,0.0,0.0,0.36,0.56,186690.8,42452.8,0.8,0.8333333333333334,1.0,1.0,0.5,0.8266666666666665,0.0,-0.20000000000000007,144238.0
EUN1_3929976495,0,Sett,MasterYi,Veigar,MissFortune,Lux,TahmKench,Jax,Katarina,Caitlyn,Mel,0.0,0.0,0.58,0.46,370790.2,78398.8,0.6666666666666666,0.0,0.14285714285714285,0.6216216216216216,0.5,0.38622908622908625,0.0,0.11999999999999994,292391.4
EUN1_3929950668,0,Vayne,Warwick,Syndra,Samira,Mel,Sion,Evelynn,Naafiri,Kaisa,Lux,0.0,0.0,0.44,0.52,106986.2,563823.4,0.0,0.6666666666666666,0.0,0.3333333333333333,0.5714285714285714,0.3142857142857143,0.0,-0.08000000000000002,-456837.2
EUN1_3880990345,0,Volibear,Kindred,Veigar,Vayne,Braum,Illaoi,MasterYi,Zed,Aphelios,Swain,0.0,0.0,0.6,0.46,115749.8,386517.0,0.5,0.3333333333333333,0.6,0.0,0.0,0.2866666666666666,0.0,0.13999999999999996,-270767.2
EUN1_3931666828,1,Kayle,Vi,Annie,Tristana,Neeko,KSante,Viego,Vex,Caitlyn,Pantheon,0.0,0.0,0.44,0.46,59573.2,83454.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.8333333333333333,0.0,-0.020000000000000018,-23880.800000000003
EUN1_3921325789,1,Darius,Trundle,Aurora,Samira,Rell,Yone,Jax,Taliyah,Ashe,Nami,0.0,0.0,0.54,0.46,7892.0,60893.4,0.5,1.0,1.0,0.75,1.0,0.85,0.0,0.08000000000000002,-53001.4
EUN1_3922929831,1,Teemo,Sylas,Ziggs,MissFortune,Nami,Sett,Viego,Malphite,Vayne,Morgana,0.0,0.0,0.52,0.48,133590.6,247267.0,0.6666666666666666,0.5,1.0,0.5,0.3333333333333333,0.6,0.0,0.040000000000000036,-113676.4
EUN1_3855719139,0,Jayce,Nocturne,Xerath,Jinx,Milio,Sett,Qiyana,Akali,Aphelios,Lulu,0.0,0.0,0.56,0.48,96545.4,64523.0,0.0,0.0,0.4,0.0,0.5,0.18,0.0,0.08000000000000007,32022.399999999994
EUN1_3926257550,1,Olaf,Viego,Yasuo,Tristana,Mel,Sett,Lillia,Sion,Varus,Swain,0.0,0.0,0.44,0.56,196032.6,44966.8,0.5,0.5,1.0,1.0,0.5,0.7,0.0,-0.12000000000000005,151065.8
EUN1_3931420420,1,Senna,Nasus,Fizz,Jhin,Mel,Darius,JarvanIV,Taliyah,Aphelios,Leona,0.0,0.0,0.38,0.68,76100.0,46082.8,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.0,-0.30000000000000004,30017.199999999997
EUN1_3931354588,0,Tryndamere,Hecarim,Sylas,Ashe,Skarner,Malphite,Rengar,Veigar,Ezreal,Senna,0.0,0.0,0.5,0.4,53852.0,68024.8,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.09999999999999998,-14172.800000000003
EUN1_3931386251,0,TahmKench,Shyvana,Lux,Caitlyn,Shen,Garen,Tryndamere,Naafiri,Jinx,Morgana,0.0,0.0,0.46,0.54,127185.8,106903.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.10909090909090909,0.0,-0.08000000000000002,20282.800000000003
EUN1_3931129029,0,Sion,Kayn,Smolder,Twitch,Neeko,Renekton,FiddleSticks,Ahri,Sivir,Ashe,0.0,0.0,0.58,0.42,28198.8,924273.6,0.0,0.5,0.0,0.5,0.0,0.2,0.0,0.15999999999999998,-896074.7999999999
EUN1_3915903074,1,Vayne,Viego,Viktor,MissFortune,Nautilus,Varus,Sylas,Ahri,Jhin,Morgana,0.0,0.0,0.52,0.18,246143.2,77037.2,1.0,1.0,1.0,0.5882352941176471,0.3333333333333333,0.7843137254901962,0.0,0.34,169106.0
EUN1_3929747485,0,TahmKench,Viego,Zed,Varus,Yuumi,Sett,Graves,Jhin,Caitlyn,FiddleSticks,0.0,0.0,0.6,0.4,61573.0,77295.4,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.1,0.0,0.19999999999999996,-15722.399999999994
EUN1_3931648936,1,Riven,Darius,Jayce,Vayne,Pyke,Kayle,Viego,Akshan,Yunara,Teemo,0.0,0.0,0.46,0.5,453246.8,102337.4,0.5,0.5,1.0,0.5,0.3333333333333333,0.5666666666666667,0.0,-0.03999999999999998,350909.4
EUN1_3930857259,1,Illaoi,MasterYi,Zed,MissFortune,Leona,Vayne,Rammus,Vex,Jinx,Morgana,0.0,0.0,0.4,0.56,229031.4,43625.6,1.0,0.75,1.0,0.5666666666666667,0.3333333333333333,0.73,0.0,-0.16000000000000003,185405.8
